gyroX,gyroY,gyroZ,lowAccelX,lowAccelY,lowAccelZ,highAccelX,highAccelY,highAccelZ
138.0,-183.0,-397.0,-424.0,-1701.0,333.0,-442.0,230.0,433.0
118.0,-12.0,-364.0,-464.0,-1711.0,258.0,-446.0,229.0,425.0
99.0,188.0,-334.0,-503.0,-1720.0,214.0,-450.0,228.0,421.0
90.0,370.0,-306.0,-542.0,-1724.0,238.0,-454.0,228.0,423.0
90.0,508.0,-290.0,-600.0,-1736.0,276.0,-460.0,227.0,427.0
90.0,590.0,-290.0,-650.0,-1728.0,302.0,-465.0,228.0,430.0
90.0,630.0,-293.0,-702.0,-1760.0,310.0,-470.0,224.0,431.0
103.0,588.0,-310.0,-780.0,-1731.0,337.0,-478.0,227.0,433.0
113.0,542.0,-310.0,-771.0,-1710.0,327.0,-477.0,229.0,432.0
123.0,479.0,-310.0,-750.0,-1704.0,316.0,-475.0,230.0,431.0
133.0,409.0,-302.0,-747.0,-1694.0,318.0,-474.0,231.0,431.0
152.0,336.0,-282.0,-732.0,-1692.0,338.0,-473.0,231.0,433.0
182.0,284.0,-254.0,-716.0,-1672.0,350.0,-471.0,233.0,435.0
212.0,252.0,-218.0,-698.0,-1660.0,338.0,-469.0,234.0,433.0
238.0,240.0,-180.0,-672.0,-1652.0,320.0,-467.0,235.0,432.0
262.0,248.0,-125.0,-656.0,-1630.0,330.0,-465.0,237.0,433.0
295.0,275.0,-70.0,-640.0,-1620.0,335.0,-464.0,238.0,433.0
350.0,345.0,56.0,-645.0,-1635.0,296.0,-464.0,237.0,429.0
375.0,395.0,122.0,-675.0,-1698.0,256.0,-467.0,231.0,425.0
402.0,450.0,186.0,-698.0,-1742.0,234.0,-469.0,226.0,423.0
434.0,494.0,240.0,-710.0,-1786.0,230.0,-471.0,222.0,423.0
474.0,528.0,278.0,-722.0,-1816.0,248.0,-472.0,219.0,424.0
496.0,552.0,308.0,-736.0,-1832.0,281.0,-473.0,217.0,428.0
518.0,572.0,334.0,-734.0,-1847.0,283.0,-473.0,216.0,428.0
551.0,608.0,347.0,-730.0,-1906.0,280.0,-473.0,210.0,428.0
581.0,662.0,357.0,-723.0,-1951.0,259.0,-472.0,205.0,425.0
611.0,736.0,367.0,-748.0,-2009.0,215.0,-474.0,200.0,421.0
682.0,940.0,388.0,-810.0,-2168.0,116.0,-481.0,184.0,411.0
690.0,1032.0,398.0,-860.0,-2232.0,70.0,-486.0,177.0,407.0
698.0,1114.0,416.0,-926.0,-2306.0,-4.0,-492.0,170.0,400.0
716.0,1202.0,460.0,-1044.0,-2352.0,-101.0,-504.0,165.0,390.0
728.0,1308.0,515.0,-1190.0,-2432.0,-164.0,-519.0,157.0,384.0
730.0,1438.0,574.0,-1409.0,-2431.0,-224.0,-540.0,157.0,378.0
757.0,1450.0,634.0,-1547.0,-2475.0,-257.0,-554.0,153.0,375.0
760.0,1477.0,676.0,-1623.0,-2408.0,-323.0,-562.0,160.0,368.0
760.0,1462.0,689.0,-1666.0,-2283.0,-410.0,-566.0,172.0,359.0
760.0,1370.0,670.0,-1670.0,-2100.0,-450.0,-567.0,190.0,355.0
780.0,1110.0,540.0,-1650.0,-1850.0,-510.0,-565.0,215.0,349.0
770.0,970.0,441.0,-1630.0,-1792.0,-525.0,-563.0,221.0,348.0
767.0,782.0,349.0,-1610.0,-1713.0,-573.0,-561.0,229.0,343.0
737.0,603.0,240.0,-1584.0,-1650.0,-601.0,-558.0,235.0,340.0
706.0,434.0,139.0,-1532.0,-1647.0,-613.0,-553.0,236.0,339.0
665.0,275.0,33.0,-1544.0,-1618.0,-643.0,-554.0,239.0,336.0
613.0,126.0,-36.0,-1482.0,-1599.0,-678.0,-548.0,241.0,333.0
544.0,-36.0,-96.0,-1396.0,-1578.0,-716.0,-539.0,243.0,329.0
478.0,-132.0,-122.0,-1234.0,-1516.0,-748.0,-523.0,249.0,326.0
422.0,-232.0,-130.0,-1060.0,-1446.0,-788.0,-506.0,256.0,322.0
344.0,-308.0,-137.0,-846.0,-1331.0,-864.0,-484.0,267.0,314.0
311.0,-276.0,-127.0,-834.0,-1310.0,-841.0,-483.0,269.0,316.0
284.0,-187.0,-114.0,-856.0,-1319.0,-808.0,-485.0,269.0,320.0
264.0,-74.0,-94.0,-867.0,-1340.0,-771.0,-486.0,266.0,323.0
250.0,58.0,-77.0,-875.0,-1343.0,-747.0,-487.0,266.0,326.0
247.0,230.0,-73.0,-940.0,-1362.0,-740.0,-494.0,264.0,326.0
237.0,427.0,-84.0,-1040.0,-1402.0,-716.0,-504.0,260.0,329.0
226.0,600.0,-90.0,-1107.0,-1428.0,-672.0,-510.0,258.0,333.0
212.0,628.0,-82.0,-1048.0,-1448.0,-632.0,-504.0,256.0,337.0
196.0,512.0,-66.0,-938.0,-1456.0,-590.0,-493.0,255.0,341.0
214.0,140.0,-55.0,-930.0,-1485.0,-560.0,-493.0,252.0,344.0
215.0,-35.0,-40.0,-965.0,-1520.0,-450.0,-496.0,248.0,355.0
205.0,-185.0,-20.0,-955.0,-1540.0,-300.0,-495.0,246.0,370.0
200.0,-305.0,-5.0,-900.0,-1520.0,-165.0,-490.0,248.0,384.0
200.0,-400.0,15.0,-850.0,-1500.0,-95.0,-485.0,250.0,391.0
200.0,-465.0,54.0,-790.0,-1490.0,-86.0,-479.0,251.0,392.0
200.0,-502.0,100.0,-715.0,-1448.0,-42.0,-471.0,256.0,396.0
212.0,-474.0,150.0,-666.0,-1402.0,20.0,-466.0,260.0,402.0
244.0,-414.0,212.0,-632.0,-1366.0,46.0,-463.0,264.0,404.0
284.0,-360.0,288.0,-626.0,-1338.0,38.0,-462.0,267.0,403.0
361.0,-276.0,470.0,-810.0,-1347.0,16.0,-481.0,266.0,401.0
391.0,-277.0,577.0,-882.0,-1343.0,10.0,-488.0,266.0,401.0
407.0,-308.0,687.0,-963.0,-1347.0,-11.0,-496.0,266.0,399.0
417.0,-355.0,800.0,-1004.0,-1364.0,-4.0,-500.0,264.0,400.0
427.0,-402.0,892.0,-1066.0,-1410.0,8.0,-506.0,259.0,400.0
438.0,-434.0,966.0,-1162.0,-1516.0,66.0,-516.0,249.0,406.0
464.0,-464.0,1036.0,-1236.0,-1636.0,120.0,-523.0,237.0,412.0
494.0,-486.0,1090.0,-1242.0,-1780.0,130.0,-524.0,222.0,413.0
532.0,-490.0,1145.0,-1280.0,-1999.0,139.0,-528.0,201.0,413.0
576.0,-490.0,1186.0,-1378.0,-2209.0,140.0,-537.0,180.0,414.0
666.0,-433.0,1294.0,-1705.0,-2361.0,420.0,-570.0,164.0,442.0
715.0,-385.0,1350.0,-1756.0,-2226.0,630.0,-575.0,178.0,463.0
770.0,-330.0,1340.0,-1805.0,-2110.0,870.0,-580.0,189.0,487.0
820.0,-260.0,1250.0,-1820.0,-2030.0,1040.0,-582.0,197.0,504.0
870.0,-150.0,1080.0,-1860.0,-1940.0,1120.0,-586.0,206.0,512.0
910.0,0.0,824.0,-1930.0,-1883.0,1144.0,-593.0,212.0,514.0
930.0,166.0,563.0,-2000.0,-1814.0,1076.0,-600.0,219.0,507.0
926.0,319.0,295.0,-2081.0,-1755.0,938.0,-608.0,225.0,493.0
885.0,404.0,48.0,-2083.0,-1707.0,820.0,-608.0,230.0,482.0
834.0,439.0,-170.0,-2012.0,-1675.0,717.0,-601.0,233.0,471.0
708.0,330.0,-546.0,-1780.0,-1540.0,496.0,-578.0,246.0,449.0
650.0,228.0,-668.0,-1626.0,-1488.0,428.0,-562.0,252.0,442.0
604.0,122.0,-750.0,-1452.0,-1428.0,368.0,-545.0,258.0,436.0
576.0,38.0,-799.0,-1266.0,-1365.0,331.0,-526.0,264.0,433.0
557.0,-19.0,-826.0,-1102.0,-1318.0,304.0,-510.0,269.0,430.0
544.0,-43.0,-840.0,-966.0,-1278.0,284.0,-496.0,273.0,428.0
524.0,-47.0,-837.0,-889.0,-1238.0,285.0,-488.0,277.0,428.0
504.0,-31.0,-821.0,-825.0,-1198.0,332.0,-482.0,281.0,433.0
484.0,-1.0,-794.0,-772.0,-1179.0,396.0,-477.0,283.0,439.0
464.0,32.0,-768.0,-718.0,-1196.0,494.0,-471.0,281.0,449.0
418.0,94.0,-694.0,-684.0,-1176.0,686.0,-468.0,283.0,468.0
384.0,96.0,-650.0,-690.0,-1166.0,760.0,-469.0,284.0,476.0
348.0,86.0,-595.0,-690.0,-1150.0,800.0,-469.0,285.0,480.0
305.0,85.0,-535.0,-686.0,-1145.0,810.0,-468.0,286.0,481.0
265.0,100.0,-460.0,-690.0,-1125.0,810.0,-469.0,288.0,481.0
230.0,125.0,-375.0,-720.0,-1100.0,810.0,-472.0,290.0,481.0
190.0,155.0,-280.0,-765.0,-1080.0,805.0,-476.0,292.0,480.0
155.0,185.0,-170.0,-820.0,-1042.0,794.0,-482.0,296.0,479.0
128.0,212.0,-76.0,-875.0,-1006.0,796.0,-487.0,300.0,479.0
108.0,226.0,8.0,-906.0,-960.0,794.0,-490.0,304.0,479.0
68.0,192.0,152.0,-996.0,-906.0,827.0,-499.0,310.0,482.0
53.0,152.0,205.0,-1063.0,-886.0,858.0,-506.0,312.0,485.0
43.0,119.0,255.0,-1057.0,-901.0,891.0,-505.0,310.0,489.0
26.0,75.0,305.0,-1074.0,-931.0,914.0,-507.0,307.0,491.0
13.0,25.0,355.0,-1080.0,-954.0,944.0,-508.0,305.0,494.0
3.0,-11.0,410.0,-1087.0,-976.0,974.0,-508.0,303.0,497.0
-8.0,-52.0,468.0,-1074.0,-1012.0,980.0,-507.0,299.0,498.0
-10.0,-84.0,528.0,-1070.0,-1020.0,980.0,-507.0,298.0,498.0
-18.0,-106.0,604.0,-1054.0,-1036.0,980.0,-505.0,297.0,498.0
-28.0,-126.0,676.0,-1066.0,-1048.0,996.0,-506.0,296.0,499.0
-30.0,-177.0,842.0,-1014.0,-1040.0,990.0,-501.0,296.0,499.0
-30.0,-216.0,922.0,-1037.0,-1049.0,999.0,-503.0,296.0,499.0
-21.0,-274.0,993.0,-1058.0,-1068.0,1000.0,-505.0,294.0,500.0
-2.0,-316.0,1063.0,-1042.0,-1052.0,982.0,-504.0,295.0,498.0
9.0,-356.0,1140.0,-995.0,-1050.0,950.0,-499.0,295.0,495.0
50.0,-400.0,1200.0,-963.0,-1040.0,940.0,-496.0,296.0,494.0
