end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std,start_mvt
481.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,13826.0,989.0754716981132,-3462.0,3869.644819961649,16108.0,1230.377358490566,-13660.0,7654.456761678165,7055.0,-1550.1132075471698,-7630.0,3672.156134922,145.0,-383.49056603773585,-716.0,240.94458528574486,2710.0,413.75471698113205,-288.0,630.1184231085326,767.0,342.49056603773585,-136.0,223.05765231312438,5450.0,164.41509433962264,-3160.0,2411.775410786724,23100.0,136.22641509433961,-6885.0,6303.494255757337,3677.0,-575.6415094339623,-5362.0,2232.815186591716,428.0
535.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,12837.0,388.37735849056605,-4043.0,4173.009153275806,12174.0,-102.41509433962264,-14211.0,7458.953632106961,8236.0,69.50943396226415,-5926.0,3598.185892398479,259.0,-416.37735849056605,-852.0,279.4172663030559,2394.0,276.8679245283019,-732.0,673.2512686079009,762.0,353.45283018867923,-239.0,193.56697966553074,6597.0,-164.45283018867926,-4528.0,2798.5094285656214,19942.0,-1232.0188679245282,-11324.0,6735.7364296442865,3620.0,-466.0188679245283,-6390.0,1937.8364272734486,482.0
584.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,10582.0,946.6415094339623,-4410.0,4033.9232911661893,9458.0,70.28301886792453,-16983.0,7740.244034061296,8467.0,-100.35849056603773,-6650.0,3981.252707253467,323.0,-403.0566037735849,-802.0,266.3587383654391,2222.0,243.43396226415095,-732.0,685.4540468644449,830.0,374.22641509433964,-276.0,176.59140600108424,7236.0,-31.830188679245282,-4022.0,2666.7523733203234,18225.0,-1566.0377358490566,-11324.0,6857.842770149158,4300.0,-258.07547169811323,-6763.0,1767.9423486190487,531.0
682.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,4616.0,-1238.9056603773586,-5137.0,2129.8208778435132,10090.0,505.9433962264151,-24560.0,7833.493405821064,11807.0,640.9622641509434,-5494.0,5283.408766209209,562.0,-421.3207547169811,-1515.0,411.227233346204,2187.0,296.62264150943395,-597.0,668.3828424584881,809.0,455.50943396226415,-189.0,182.99039725136373,9624.0,-213.33962264150944,-11155.0,4114.09493712397,17876.0,-1034.3584905660377,-9975.0,6687.533223768915,4094.0,556.6603773584906,-5898.0,1833.1514682413015,629.0
786.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,13212.0,-137.33962264150944,-4638.0,3876.2274777625466,7472.0,1354.7358490566037,-14296.0,4756.174509765592,11506.0,-278.8867924528302,-6560.0,4824.839593429217,191.0,-386.49056603773585,-747.0,191.74789364418356,3282.0,324.33962264150944,-511.0,657.4111798268973,791.0,394.79245283018867,-565.0,239.8515052221467,5910.0,134.66037735849056,-3478.0,1920.38044050768,28820.0,-757.0943396226415,-9115.0,6576.389643332342,3916.0,-51.54716981132076,-9656.0,2402.018490658011,733.0
840.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,14314.0,1141.867924528302,-3724.0,4264.25076401171,11700.0,-596.188679245283,-15162.0,8170.875471068907,7805.0,-581.6981132075472,-8200.0,4237.635632432973,280.0,-401.92452830188677,-925.0,273.52744546983575,2996.0,329.1132075471698,-595.0,724.8076843172146,947.0,324.92452830188677,-306.0,207.39954464164498,6800.0,-19.566037735849058,-5252.0,2737.8402247970375,25964.0,-709.5849056603773,-9951.0,7250.357960483909,5470.0,-751.2452830188679,-7060.0,2075.8312135481497,787.0
841.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,14314.0,1165.132075471698,-3724.0,4243.140745493456,11700.0,-597.1132075471698,-15162.0,8170.458657826088,7805.0,-560.4528301886793,-8200.0,4247.267431791327,280.0,-400.62264150943395,-925.0,272.86579022937934,2996.0,335.50943396226415,-595.0,718.9483137151823,947.0,325.1509433962264,-306.0,207.53075733364804,6800.0,-6.547169811320755,-5252.0,2731.2314464501856,25964.0,-645.6415094339623,-9951.0,7191.802240410041,5470.0,-749.0,-7060.0,2077.1411751584105,788.0
895.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,13585.0,1015.9433962264151,-3278.0,4017.922704846251,12440.0,207.18867924528303,-9014.0,5378.787560181355,9136.0,-710.5849056603773,-9490.0,4513.211220039547,206.0,-412.188679245283,-893.0,224.33543365338616,3161.0,310.47169811320754,-581.0,721.6411212212381,1048.0,374.22641509433964,-276.0,205.95263099048114,6063.0,-122.9622641509434,-4930.0,2245.982327164049,27614.0,-895.811320754717,-9818.0,7219.282619529355,6482.0,-257.07547169811323,-6767.0,2062.0848472532375,842.0
947.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,12128.0,741.2830188679245,-3008.0,3544.2852071889474,12905.0,-237.20754716981133,-8684.0,5705.897769846735,8656.0,-749.2830188679245,-8100.0,4396.926970481151,62.0,-439.7169811320755,-1007.0,251.01136791285055,2927.0,300.0566037735849,-644.0,619.5148664974238,921.0,385.7358490566038,-357.0,208.78090751784936,4620.0,-397.3018867924528,-6074.0,2512.917279431538,25270.0,-999.5283018867924,-10449.0,6197.290734369252,5210.0,-142.8679245283019,-7573.0,2090.5988839945053,894.0
1004.0,jabcross_shadowboxing_normal_speed_10_TM08L_1534060055769.txt,13730.0,708.811320754717,-3037.0,3503.1195770923723,11264.0,-703.9056603773585,-11740.0,4872.945169560629,12926.0,-685.8679245283018,-6188.0,5050.517327035137,77.0,-336.75471698113205,-940.0,243.17427318855863,3418.0,399.24528301886795,-427.0,667.4508597774872,779.0,393.1132075471698,-384.0,235.9154558781728,4774.0,633.7547169811321,-5402.0,2434.438917394601,30186.0,-8.056603773584905,-8275.0,6677.572167668928,3794.0,-68.32075471698113,-7844.0,2362.3347542826623,951.0
