start_mvt,end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
780,829,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5196,68.7755102,-3693,2275.980432,5983,87.83673469,-12110,3001.590692,4295,69.42857143,-6614,2847.602486,852,-401.2040816,-689,328.7097237,1964,318.1020408,-66,459.6572657,1050,466.8367347,164,148.1012248,12520,-14.6122449,-2890,3288.643412,15642,-819.9591837,-4660,4598.967918,6506,670.6734694,-2361,1482.99832
826,875,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5288,63.36734694,-3282,2337.568552,8736,-269.4897959,-12908,3616.081852,4366,-24.24489796,-7468,2996.569953,652,-401.9591837,-711,331.1369278,1932,314.5510204,-66,438.5577243,1195,471.3469388,74,173.7705085,10528,-20.73469388,-3116,3314.266647,15326,-856.0204082,-4660,4387.814977,7959,714.5510204,-3264,1740.371333
921,970,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5841,237,-3606,2437.468513,7861,19.08163265,-16138,3763.528137,4392,-158.0204082,-7670,3189.336755,776,-385.2653061,-700,337.5277628,2040,340.9591837,-55,469.5494276,1129,466.6326531,47,187.4682966,11767,145.2653061,-3000,3377.709423,16400,-592.5714286,-4557,4698.504452,7290,667.5510204,-3534,1877.142588
922,971,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5841,249.4081633,-3606,2430.66594,7861,24.75510204,-16138,3763.203542,4392,-169.0204082,-7670,3184.650514,776,-383.3877551,-700,337.2398884,2040,341.1836735,-55,469.3709742,1129,467.755102,47,187.8426348,11767,164.0408163,-3000,3374.844576,16400,-590.3469388,-4557,4696.735185,7290,678.8367347,-3534,1880.902945
970,1019,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,4892,47.85714286,-3000,2109.789128,6077,171.3061224,-10661,2572.815483,3792,160.6326531,-6490,2657.326105,742,-375.6530612,-676,296.5723317,1787,315.9795918,-31,429.0368812,1125,480.7755102,189,154.3780891,11426,241.6530612,-2765,2967.535155,13879,-842.7755102,-4318,4294.104191,7251,810.1632653,-2110,1545.341917
1113,1162,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,5976,156.8571429,-2758,2550.31039,7044,-134.244898,-11960,3340.245541,3680,-69.26530612,-7184,2970.596305,783,-368.3877551,-681,314.9683725,1796,340.9591837,-40,431.2170258,1068,491.9795918,222,151.31431,11833,315,-2818,3151.965432,13966,-592.5510204,-4404,4315.589275,6688,920.6122449,-1788,1515.536976
1160,1209,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,7510,812.244898,-1826,2311.673614,10038,-482.122449,-10822,3191.400781,4618,-951.9387755,-10385,3759.719922,768,-422.8367347,-887,343.9639242,2432,412.3877551,-32,510.2944336,1382,437.4489796,21,215.0993047,11685,-230.7346939,-4878,3442.495405,20320,122.877551,-4320,5105.570771,9825,374.877551,-3794,2153.358497
1161,1210,jab_cross_shadowboxing_slow_20_T7R_1531551153638.txt,7510,850.7346939,-1826,2293.337722,10038,-525.4693878,-10822,3200.873475,4618,-1081.938776,-10385,3793.386259,768,-417.9591837,-887,345.7383982,2432,420.3265306,-32,506.8227578,1382,436.8163265,21,214.8157809,11685,-181.8367347,-4878,3460.259885,20320,202.3061224,-4320,5070.853767,9825,368.6530612,-3794,2150.554178
286,423,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,8678,203.7737226,-4174,1743.843612,9217,11.44525547,-6150,2163.96667,3586,176.2043796,-7092,1349.810565,915,-352.8978102,-1368,242.5762853,3673,271.0437956,-1869,687.3137595,1302,499.6569343,-2258,293.805619,13150,473.8175182,-9685,2427.354188,32730,-1292.021898,-22697,6874.457136,9024,999.1459854,-26584,2939.573812
437,574,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,6042,-54.27007299,-5220,1637.199535,9732,-28.2189781,-7886,2367.43223,4390,284.0145985,-7046,1831.028548,1881,-368.4817518,-2299,358.9761811,3673,262.3138686,-2227,671.8539183,1344,496.6350365,-1115,250.2540731,22810,316.6277372,-18990,3591.176673,32730,-1378.941606,-26270,6719.626239,9445,969.270073,-15150,2503.909627
584,721,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,6245,8.700729927,-3682,1676.645502,8070,360.1824818,-5937,2150.709415,4840,251.0510949,-6916,1951.510962,1006,-342.6715328,-1845,287.9630059,3673,266.4671533,-2076,661.8984178,1233,496.4014599,-721,218.5016981,14065,574.9562044,-14457,2882.042571,32730,-1337.708029,-24764,6620.203487,8331,966.8029197,-11217,2187.107974
725,862,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,9360,59.05109489,-3636,1894.697292,8768,-21.48175182,-5806,2201.360055,4866,229.7956204,-10560,2162.666329,780,-330.4014599,-2077,320.4077471,3673,259.6861314,-1856,687.1759638,1420,481.8759124,-2873,355.4180729,11800,697.5328467,-16770,3205.51627,32730,-1405.664234,-22565,6873.156441,10204,821.5766423,-32730,3555.673045
726,863,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,9360,59.08759124,-3636,1894.666312,8768,-24.62043796,-5806,2202.382374,4866,234.9051095,-10560,2154.207234,780,-331.2919708,-2077,320.847434,3673,259.6350365,-1856,687.206535,1420,482.9489051,-2873,355.0471245,11800,688.5912409,-16770,3209.940474,32730,-1406.211679,-22565,6873.483919,10204,832.3430657,-32730,3551.936209
871,1008,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,7081,63.03649635,-4400,1695.322923,10652,-77.89051095,-5126,2486.069251,4331,311.2116788,-7795,1742.057883,251,-336.8613139,-1945,286.0753496,3673,246.0437956,-2084,637.9630598,1159,491.9781022,-1775,288.2381437,6511,633.5109489,-15456,2863.059242,32730,-1541.19708,-24841,6381.002362,7595,922.6569343,-21759,2884.562395
